State,Transaction_year,Quarters,Transaction_Type,Transaction_Count,Transaction_Amount,latitude,longitude
arunachal-pradesh,2019,3,east siang,22611,58040119.96,26.879641,80.56982
arunachal-pradesh,2019,3,namsai,13453,25507641.02,26.879641,80.56982
arunachal-pradesh,2019,3,west siang,11889,30014806.82,26.879641,80.56982
arunachal-pradesh,2019,3,tirap,11249,21737827.19,26.879641,80.56982
arunachal-pradesh,2019,3,longding,10269,26620415.02,26.879641,80.56982
arunachal-pradesh,2019,4,papum pare,143272,378838002.3,26.879641,80.56982
arunachal-pradesh,2019,4,west kameng,66740,198205637.5,26.879641,80.56982
arunachal-pradesh,2019,4,changlang,33963,71874990.96,26.879641,80.56982
arunachal-pradesh,2019,4,tawang,30077,91949243.61,26.879641,80.56982
arunachal-pradesh,2019,4,lohit,29281,67502324.59,26.879641,80.56982
arunachal-pradesh,2019,4,east siang,26605,72075285.44,26.879641,80.56982
arunachal-pradesh,2019,4,namsai,18290,32501252.24,26.879641,80.56982
arunachal-pradesh,2019,4,tirap,16459,38467790.73,26.879641,80.56982
arunachal-pradesh,2019,4,west siang,14581,39460255.47,26.879641,80.56982
arunachal-pradesh,2019,4,lower subansiri,11806,29634357.49,26.879641,80.56982
arunachal-pradesh,2020,1,papum pare,180373,457430754.2,26.879641,80.56982
arunachal-pradesh,2020,1,west kameng,75363,198712422.2,26.879641,80.56982
arunachal-pradesh,2020,1,changlang,43858,93461363.59,26.879641,80.56982
arunachal-pradesh,2020,1,lohit,36985,83701268.27,26.879641,80.56982
arunachal-pradesh,2020,1,east siang,33743,82011539.43,26.879641,80.56982
arunachal-pradesh,2020,1,tawang,31865,84425193.42,26.879641,80.56982
arunachal-pradesh,2020,1,namsai,23112,46444942.96,26.879641,80.56982
arunachal-pradesh,2020,1,west siang,19728,47929440.73,26.879641,80.56982
arunachal-pradesh,2020,1,tirap,18369,40877851.79,26.879641,80.56982
