State,Year,Quarter,Brand,Transaction_count,Percentage,latitude,longitude
andhra-pradesh,2019,3,Vivo,1674109,0.160068662,15.9129,79.739987
andhra-pradesh,2019,3,Oppo,1087660,0.103995786,15.9129,79.739987
andhra-pradesh,2019,3,Realme,727964,0.069603726,15.9129,79.739987
andhra-pradesh,2019,3,Motorola,348910,0.033360765,15.9129,79.739987
andhra-pradesh,2019,3,Apple,286412,0.027385066,15.9129,79.739987
andhra-pradesh,2019,3,Huawei,282587,0.027019342,15.9129,79.739987
andhra-pradesh,2019,3,OnePlus,271100,0.025921021,15.9129,79.739987
andhra-pradesh,2019,3,Lenovo,194180,0.018566373,15.9129,79.739987
andhra-pradesh,2019,3,Others,805644,0.07703104,15.9129,79.739987
andhra-pradesh,2019,4,Xiaomi,2985953,0.253953284,15.9129,79.739987
andhra-pradesh,2019,4,Samsung,2379139,0.202344163,15.9129,79.739987
andhra-pradesh,2019,4,Vivo,1922141,0.163476793,15.9129,79.739987
andhra-pradesh,2019,4,Oppo,1241235,0.105566198,15.9129,79.739987
andhra-pradesh,2019,4,Realme,844668,0.071838442,15.9129,79.739987
andhra-pradesh,2019,4,Motorola,381692,0.032462647,15.9129,79.739987
andhra-pradesh,2019,4,Huawei,317290,0.0269853,15.9129,79.739987
andhra-pradesh,2019,4,Apple,308354,0.026225299,15.9129,79.739987
andhra-pradesh,2019,4,OnePlus,286412,0.024359147,15.9129,79.739987
andhra-pradesh,2019,4,Lenovo,208785,0.017757023,15.9129,79.739987
andhra-pradesh,2019,4,Others,882214,0.075031704,15.9129,79.739987
andhra-pradesh,2020,1,Xiaomi,3307542,0.253995297,15.9129,79.739987
andhra-pradesh,2020,1,Samsung,2622762,0.201409147,15.9129,79.739987
andhra-pradesh,2020,1,Vivo,2165012,0.166257259,15.9129,79.739987
andhra-pradesh,2020,1,Oppo,1387060,0.106516173,15.9129,79.739987
andhra-pradesh,2020,1,Realme,960418,0.073753154,15.9129,79.739987
andhra-pradesh,2020,1,Motorola,411062,0.031566588,15.9129,79.739987
andhra-pradesh,2020,1,Huawei,348324,0.026748763,15.9129,79.739987
andhra-pradesh,2020,1,Apple,329329,0.025290085,15.9129,79.739987
andhra-pradesh,2020,1,OnePlus,298911,0.022954202,15.9129,79.739987
andhra-pradesh,2020,1,Lenovo,227154,0.017443784,15.9129,79.739987
andhra-pradesh,2020,1,Others,964486,0.074065547,15.9129,79.739987
andhra-pradesh,2020,2,Xiaomi,3635594,0.253888025,15.9129,79.739987
andhra-pradesh,2020,2,Samsung,2888149,0.20169096,15.9129,79.739987
andhra-pradesh,2020,2,Vivo,2409399,0.168257939,15.9129,79.739987
andhra-pradesh,2020,2,Oppo,1535129,0.107204179,15.9129,79.739987
andhra-pradesh,2020,2,Realme,1072165,0.074873557,15.9129,79.739987
andhra-pradesh,2020,2,Motorola,445380,0.031102661,15.9129,79.739987
andhra-pradesh,2020,2,Huawei,379220,0.026482445,15.9129,79.739987
andhra-pradesh,2020,2,Apple,348938,0.024367732,15.9129,79.739987
andhra-pradesh,2020,2,OnePlus,309208,0.021593227,15.9129,79.739987
andhra-pradesh,2020,2,Lenovo,243288,0.016989771,15.9129,79.739987
andhra-pradesh,2020,2,Others,1053205,0.073549504,15.9129,79.739987
andhra-pradesh,2020,3,Xiaomi,3978789,0.253548707,15.9129,79.739987
andhra-pradesh,2020,3,Samsung,3154020,0.200990224,15.9129,79.739987
andhra-pradesh,2020,3,Vivo,2687996,0.171292801,15.9129,79.739987
andhra-pradesh,2020,3,Oppo,1695723,0.108060109,15.9129,79.739987
andhra-pradesh,2020,3,Realme,1207622,0.076955827,15.9129,79.739987
andhra-pradesh,2020,3,Motorola,477313,0.030416816,15.9129,79.739987
andhra-pradesh,2020,3,Huawei,408520,0.026032976,15.9129,79.739987
andhra-pradesh,2020,3,Apple,370327,0.023599123,15.9129,79.739987
andhra-pradesh,2020,3,OnePlus,322028,0.020521265,15.9129,79.739987
andhra-pradesh,2020,3,Lenovo,260912,0.016626642,15.9129,79.739987
andhra-pradesh,2020,3,Others,1129155,0.07195551,15.9129,79.739987
andhra-pradesh,2020,4,Xiaomi,4325662,0.253309843,15.9129,79.739987
andhra-pradesh,2020,4,Samsung,3419866,0.200266623,15.9129,79.739987
andhra-pradesh,2020,4,Vivo,2950572,0.172784866,15.9129,79.739987
andhra-pradesh,2020,4,Oppo,1856052,0.108690009,15.9129,79.739987
andhra-pradesh,2020,4,Realme,1361491,0.079728622,15.9129,79.739987
andhra-pradesh,2020,4,Motorola,506158,0.029640504,15.9129,79.739987
andhra-pradesh,2020,4,Huawei,437125,0.025597947,15.9129,79.739987
andhra-pradesh,2020,4,Apple,394191,0.023083741,15.9129,79.739987
andhra-pradesh,2020,4,OnePlus,336518,0.019706422,15.9129,79.739987
andhra-pradesh,2020,4,Lenovo,276671,0.016201795,15.9129,79.739987
andhra-pradesh,2020,4,Others,1212259,0.070989628,15.9129,79.739987
andhra-pradesh,2021,1,Xiaomi,4644641,0.252924664,15.9129,79.739987
andhra-pradesh,2021,1,Samsung,3635596,0.197976958,15.9129,79.739987
andhra-pradesh,2021,1,Vivo,3245151,0.176715214,15.9129,79.739987
andhra-pradesh,2021,1,Oppo,2010506,0.109482424,15.9129,79.739987
andhra-pradesh,2021,1,Realme,1531645,0.083405972,15.9129,79.739987
andhra-pradesh,2021,1,Motorola,518115,0.028214035,15.9129,79.739987
andhra-pradesh,2021,1,Huawei,455604,0.024809988,15.9129,79.739987
andhra-pradesh,2021,1,Apple,421002,0.022925731,15.9129,79.739987
andhra-pradesh,2021,1,OnePlus,355922,0.019381789,15.9129,79.739987
andhra-pradesh,2021,1,Lenovo,277980,0.015137445,15.9129,79.739987
andhra-pradesh,2021,1,Others,1267571,0.06902578,15.9129,79.739987
andhra-pradesh,2021,2,Xiaomi,4937684,0.251654243,15.9129,79.739987
andhra-pradesh,2021,2,Samsung,3798250,0.193581795,15.9129,79.739987
andhra-pradesh,2021,2,Vivo,3572140,0.182057861,15.9129,79.739987
andhra-pradesh,2021,2,Oppo,2173037,0.11075111,15.9129,79.739987
andhra-pradesh,2021,2,Realme,1817804,0.092646287,15.9129,79.739987
andhra-pradesh,2021,2,Motorola,503072,0.025639592,15.9129,79.739987
andhra-pradesh,2021,2,Apple,450689,0.022969838,15.9129,79.739987
andhra-pradesh,2021,2,Huawei,440324,0.022441574,15.9129,79.739987
andhra-pradesh,2021,2,OnePlus,394851,0.020123995,15.9129,79.739987
