State,Transaction_Year,Quarters,District,RegisteredUsers,latitude,longitude
andhra-pradesh,2022,1,visakhapatnam,3061324,15.9129,79.739987
andhra-pradesh,2022,1,east godavari,2432305,15.9129,79.739987
andhra-pradesh,2022,1,krishna,2423373,15.9129,79.739987
andhra-pradesh,2022,1,guntur,2387051,15.9129,79.739987
andhra-pradesh,2022,1,chittoor,2270705,15.9129,79.739987
andhra-pradesh,2022,1,anantapur,1827094,15.9129,79.739987
andhra-pradesh,2022,1,kurnool,1729513,15.9129,79.739987
andhra-pradesh,2022,1,west godavari,1626039,15.9129,79.739987
andhra-pradesh,2022,1,spsr nellore,1431664,15.9129,79.739987
andhra-pradesh,2022,1,prakasam,1408929,15.9129,79.739987
andhra-pradesh,2022,2,visakhapatnam,3226029,15.9129,79.739987
andhra-pradesh,2022,2,east godavari,2564165,15.9129,79.739987
andhra-pradesh,2022,2,krishna,2552107,15.9129,79.739987
andhra-pradesh,2022,2,guntur,2514794,15.9129,79.739987
andhra-pradesh,2022,2,chittoor,2392549,15.9129,79.739987
andhra-pradesh,2022,2,anantapur,1928213,15.9129,79.739987
andhra-pradesh,2022,2,kurnool,1825280,15.9129,79.739987
andhra-pradesh,2022,2,west godavari,1714357,15.9129,79.739987
andhra-pradesh,2022,2,spsr nellore,1509927,15.9129,79.739987
andhra-pradesh,2022,2,prakasam,1487589,15.9129,79.739987
andhra-pradesh,2022,3,visakhapatnam,3397514,15.9129,79.739987
andhra-pradesh,2022,3,east godavari,2702234,15.9129,79.739987
andhra-pradesh,2022,3,krishna,2685215,15.9129,79.739987
andhra-pradesh,2022,3,guntur,2647100,15.9129,79.739987
andhra-pradesh,2022,3,chittoor,2517657,15.9129,79.739987
andhra-pradesh,2022,3,anantapur,2030824,15.9129,79.739987
andhra-pradesh,2022,3,kurnool,1924127,15.9129,79.739987
andhra-pradesh,2022,3,west godavari,1805967,15.9129,79.739987
andhra-pradesh,2022,3,spsr nellore,1588875,15.9129,79.739987
andhra-pradesh,2022,3,prakasam,1567520,15.9129,79.739987
andhra-pradesh,2022,4,visakhapatnam,3566854,15.9129,79.739987
andhra-pradesh,2022,4,east godavari,2835087,15.9129,79.739987
andhra-pradesh,2022,4,krishna,2813645,15.9129,79.739987
